reviewText,overall,reviewTime
"This product exceeded my expectations.",5,2025-01-01
"Excellent quality and fast delivery.",5,2025-01-02
"I absolutely love this purchase.",5,2025-01-03
"Worth every penny.",5,2025-01-04
"The packaging was great and the product works perfectly.",5,2025-01-05
"Very satisfied with the performance.",4,2025-01-06
"Works exactly as described.",4,2025-01-07
"Good value for money.",4,2025-01-08
"The quality is impressive.",5,2025-01-09
"Highly recommend this product.",5,2025-01-10
"It is okay for the price.",3,2025-01-11
"The product is average.",3,2025-01-12
"Nothing special but acceptable.",3,2025-01-13
"Delivery was on time and packaging was decent.",4,2025-01-14
"The customer support was helpful.",4,2025-01-15
"I expected better quality.",2,2025-01-16
"The product stopped working after one week.",1,2025-01-17
"Very disappointed with this purchase.",1,2025-01-18
"Poor build quality.",2,2025-01-19
"I would not recommend this item.",1,2025-01-20
"The battery drains too quickly.",2,2025-01-21
"The color is different from the pictures.",2,2025-01-22
"Terrible customer service.",1,2025-01-23
"It arrived damaged.",1,2025-01-24
"The performance is slower than expected.",2,2025-01-25
"Amazing features and easy to use.",5,2025-01-26
"Simple setup process.",5,2025-01-27
"Looks premium and performs well.",5,2025-01-28
"I am happy with this purchase.",5,2025-01-29
"Five stars from me.",5,2025-01-30
